ano,pais,quantidade_exportacao,valor_exportacao,valor_exportacao_por_litro,producao_brasileira,percentual_exportacao
2007,Afeganistao,0,0,0.0,318464392,0.0
2007,Africa do Sul,0,0,0.0,318464392,0.0
2007,Alemanha,119512,238052,1.99,318464392,0.03752758644363606
2007,Angola,25931,49753,1.92,318464392,0.008142511581012172
2007,Anguilla,0,0,0.0,318464392,0.0
2007,Antigua e Barbuda,0,0,0.0,318464392,0.0
2007,Antilhas Holandesas,17025,17949,1.05,318464392,0.005345966590826895
2007,Argentina,0,0,0.0,318464392,0.0
2007,Aruba,0,0,0.0,318464392,0.0
2007,Australia,60,281,4.68,318464392,1.884041089278201e-05
2007,Austria,0,0,0.0,318464392,0.0
2007,Bahamas,0,0,0.0,318464392,0.0
2007,Bangladesh,0,0,0.0,318464392,0.0
2007,Barbados,0,0,0.0,318464392,0.0
2007,Barein,0,0,0.0,318464392,0.0
2007,Belgica,1077,3751,3.48,318464392,0.00033818537552543704
2007,Belize,0,0,0.0,318464392,0.0
2007,Benin,0,0,0.0,318464392,0.0
2007,Bolivia,4985,3550,0.71,318464392,0.0015653241383419719
2007,Bosnia-Herzegovina,0,0,0.0,318464392,0.0
2007,Brasil,0,0,0.0,318464392,0.0
2007,Bulgaria,0,0,0.0,318464392,0.0
2007,Cabo Verde,0,0,0.0,318464392,0.0
2007,Camaroes,0,0,0.0,318464392,0.0
2007,Canada,4172,18838,4.52,318464392,0.0013100365707447758
2007,Catar,0,0,0.0,318464392,0.0
2007,Ilhas Cayman,0,0,0.0,318464392,0.0
2007,Chile,60930,67353,1.11,318464392,0.01913243726162013
2007,China,7638,30390,3.98,318464392,0.00239838430665115
2007,Chipre,0,0,0.0,318464392,0.0
2007,Cingapura,7270,17864,2.46,318464392,0.002282829786508753
2007,Colombia,0,0,0.0,318464392,0.0
2007,Comores,0,0,0.0,318464392,0.0
2007,Congo,0,0,0.0,318464392,0.0
2007,Coreia do Sul,1012,4650,4.59,318464392,0.00031777493039158994
2007,Costa do Marfim,0,0,0.0,318464392,0.0
2007,Costa Rica,0,0,0.0,318464392,0.0
2007,Croacia,0,0,0.0,318464392,0.0
2007,Cuba,2669,5118,1.92,318464392,0.0008380842778805864
2007,Curacao,0,0,0.0,318464392,0.0
2007,Dinamarca,3480,11176,3.21,318464392,0.0010927438317813567
2007,Dominica,0,0,0.0,318464392,0.0
2007,El Salvador,0,0,0.0,318464392,0.0
2007,Emirados Arabes Unidos,0,0,0.0,318464392,0.0
2007,Equador,2700,3585,1.33,318464392,0.0008478184901751906
