pais,populacao
Abecasia (Georgia),245424
Afeganistao,38928346
Albania,2877797
Alemanha,83783942
Andorra,77265
Angola,32866272
Anguila (Reino Unido),15003
Antigua e Barbuda,97929
Argentina,45195774
Argelia,43851044
Armenia,2963243
Aruba (Paises Baixos),106766
Arabia Saudita,34813871
Australia,25499884
Azerbaijao,10139177
Bahamas,393244
Bahrein,1701575
Bangladesh,172452382
Barbados,287375
Belize,397628
Benim,12123000
Bermudas (Reino Unido),62278
Bielorrussia,9449323
Bolivia,11673021
Bonaire (Paises Baixos),20915
Botswana,2351627
Brasil,216877028
Brunei,437479
Bulgaria,6948445
Burquina Fasso,20903273
Burundi,11890784
Butao,771608
Belgica,11589623
Bosnia e Herzegovina,3280819
Cabo Verde,555987
Camaroes,26545864
Camboja,16718965
Canada,37742154
Catar,2881053
Cazaquistao,18776707
Chade,16425864
Chile,19116201
China,1426391281
Chipre,900432
Chequia,10708981
Colombia,50882891
Comores,869601
Congo,5518087
Coreia do Norte,25778816
Coreia do Sul,51269185
Costa Rica,5094118
Costa do Marfim,26378274
Croacia,4105267
Cuba,11326616
Curacau (Paises Baixos),164093
Dinamarca,5792202
Djibouti,988000
Dominica,71986
Egito,102334404
El Salvador,6486205
Emirados Arabes Unidos,9890402
Equador,17643054
Eritreia,3546421
Eslovaquia,5459642
Eslovenia,2078938
Espanha,46754778
Estados Federados da Micronesia,114419
Estados Unidos,339987103
Estonia,1326335
Eswatini,1160164
Etiopia,125092825
Fiji,896445
Filipinas,109581078
Finlandia,5540720
Franca,65273511
Gabao,2225734
Gana,31072940
Georgia,3989167
Gibraltar (Reino Unido),33691
Granada,112523
Gronelandia (Dinamarca),56770
Grecia,10423054
Guadalupe (Franca),400124
Guam (Estados Unidos),168775
Guatemala,17915568
Guernsey (Reino Unido),63155
Guiana,786552
Guiana Francesa (Franca),298682
Guine,13132795
Guine Equatorial,1402985
Guine-Bissau,1968001
Gambia,2416668
Haiti,11402528
Honduras,9904607
Hong Kong (China),7496981
Hungria,9660351
Ilha Christmas (Australia),1996
Ilha Norfolk (Australia),1734
Ilha de Ascensao (Reino Unido),806
Ilha de Man (Reino Unido),85033
Ilhas Cayman (Reino Unido),65722
Ilhas Cocos (Keeling) (Australia),573
Ilhas Cook,17564
Ilhas Faroe (Dinamarca),48863
Ilhas Malvinas (Reino Unido),3480
Ilhas Marshall,59190
Ilhas Pitcairn (Reino Unido),40
Ilhas Salomao,686884
Ilhas Turks e Caicos (Reino Unido),38717
Ilhas Virgens Britanicas (Reino Unido),30231
Indonesia,277184719
Iraque,40222493
Irlanda,4937786
Ira,83992949
Islandia,341243
Israel,8655535
Italia,60461826
Iemen,29825968
Jamaica,2961167
Japao,124127899
Jersey (Reino Unido),107800
Jordania,10203134
Kiribati,119449
Kosovo,1795666
Kuwait,4270571
Laos,7275560
Lesoto,2142249
Letonia,1886198
Liberia,5057681
Liechtenstein,38128
Lituania,2722289
Luxemburgo,625978
Libano,6825445
Libia,6871292
Macau (China),649335
Macedonia do Norte,2083374
Madagascar,27691018
Malawi,19129952
Maldivas,540544
Mali,20250833
Malta,441543
Malasia,32365999
Marianas Setentrionais (Estados Unidos),57559
Marrocos,36910560
Martinica (Franca),375265
Mauritania,4649658
Mauricia,1271768
Mayotte (Franca),272815
Moldavia,2640438
Mongolia,3278290
Montenegro,649335
Montserrat (Reino Unido),4992
Mocambique,31255435
Myanmar,54409800
Mexico,134127189
Monaco,39242
Namibia,2540905
Nauru,10824
Nepal,29136808
Nicaragua,6624554
Nigeria,223899057
Niue,1626
Noruega,5421241
Nova Caledonia (Franca),285498
Nova Zelandia,4822233
Niger,24206644
Oma,5106626
Ossetia do Sul (Georgia),57095
Palau,18094
Palestina,5101414
Panama,4314767
Papua-Nova Guine,8947024
Paquistao,240215932
Paraguai,7132538
Holanda,17134872
Peru,32971854
Polinesia Francesa (Franca),280908
Polonia,37846611
Porto Rico (Estados Unidos),2860853
Portugal,10344802
Quirguistao,6524195
Quenia,53771296
Reino Unido,67886011
Republica Centro-Africana,4829767
Republica Democratica do Congo,89561403
Republica Dominicana,10847910
Republica Turca de Chipre do Norte (Chipre),351965
Reuniao (Franca),895312
Romenia,19237691
Ruanda,12952218
Rússia,148221749
Saara Ocidental (Marrocos),597339
Saba (Paises Baixos),1933
Samoa,198414
Samoa Americana (Estados Unidos),55191
San Marino,33931
Santa Helena (territorio) do Reino Unido),4889
Santa Lucia,183627
Santo Eustaquio (Paises Baixos),3139
Seicheles,98347
Senegal,16743927
Serra Leoa,7976983
Singapura,5850342
Somalia,15893222
Sri Lanka,21413249
Sudao,43849260
Sudao do Sul,11193725
Suriname,586632
Suecia,10099265
Suica,8654622
Sao Bartolomeu (Franca),9877
Sao Cristovao e Nevis,53199
Sao Martinho (Franca),38666
Sao Martinho (Paises Baixos),42876
Sao Pedro e Miquelao (Franca),6008
Sao Tome e Principe,219159
Sao Vicente e Granadinas,110940
Servia,6926705
Siria,17500657
Tailandia,69799978
Taiwan,23816775
Tajiquistao,9537645
Tanzania,59734218
Territorio Britanico do Oceano Indico (UK),3000
Timor-Leste,1318445
Togo,8278724
Tokelau (NZ),1357
Tonga,105695
Transnistria (Moldavia),469000
Trinidad e Tobago,1399488
Tristao da Cunha (Reino Unido),241
Tunisia,11818619
Turquemenistao,6031200
Turquia,84339067
Tuvalu,11792
U.S. Ilhas Virgens (Estados Unidos),104425
Ucrania,43733762
Uganda,45741007
Uruguai,3473730
Uzbequistao,33469203
Vanuatu,307145
Vaticano,801
Venezuela,28435940
Vietname,97338579
Wallis e Futuna (Franca),11239
Zimbabwe,14862924
Zambia,18383955
Africa do Sul,59308690
Austria,9006398
India,1429921746
